tmin,tier,text,tmax,duration,maxF0,meanF0,meanF0st,medianF0,minF0,sdF0,midpointF0,slopeF0,maxInt,meanInt,medianInt,minInt,sdInt,midpointInt,medianF1,medianF1Bark,medianF2,medianF2Bark,medianF3,medianF3Bark,SPLH-SPL
0,ORT,-,3.080540,3.08054,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,66.79486505468671,48.34864124048556,46.903089478876254,9.00276639444308,18.507628175826927,49.106038871459916,965.0994911416265,8.303977885328894,1815.8269065631484,12.257361544283139,,,0.017092513254404983
0,MAU,-,3.080540,3.08054,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,66.79486505468671,48.34864124048556,46.903089478876254,9.00276639444308,18.507628175826927,49.106038871459916,965.0994911416265,8.303977885328894,1815.8269065631484,12.257361544283139,,,0.017092513254404983
3.080540,MAU,p,3.123464,0.04292399999999974,277.08899151332434,276.44661592830715,97.3289998040772,277.08899151332434,277.08899151332434,--undefined--,--undefined--,--undefined--,80.2408444810021,76.00873059085842,70.40149590471712,67.06488743066636,5.763655835158937,68.69448198791719,1053.8638767803404,8.821593399347796,1901.970350522408,12.563427970636255,,,0.17269556112044765
3.080540,ORT,si54,3.387711,0.30717099999999986,277.08899151332434,260.6044483538085,96.30356475899771,259.4804436931313,254.76104855486946,6.7680364517120655,257.73535684782604,-550.5069169895824,91.08148416201435,84.88359151941648,72.39804173125619,60.919517690147416,9.920499234711746,77.755126975201,582.9458404040937,5.645609646947821,1963.8899430727852,12.776272938344249,,,0.6120329533339592
3.123464,MAU,I,3.230767,0.10730300000000037,263.00926314751973,259.57928140140643,96.2377729521442,259.4804436931313,254.76104855486946,4.9133419915963605,257.0739342350045,173.77528306995984,91.08148416201435,89.27304597716679,89.77383673026402,83.04451490293451,2.7134332895233455,91.0457723744746,592.9817878623242,5.725759793017376,1500.6758852754533,11.011647008096277,,,0.5443180374619543
3.230767,MAU,f,3.387711,0.15694399999999975,256.08070011295416,256.7981950941986,96.05356705485384,256.08070011295416,256.08070011295416,--undefined--,--undefined--,--undefined--,76.96949354352392,71.24418094147947,69.28974106864216,60.919517690147416,4.030269677152399,69.36043950233018,660.1440069819246,6.246502192962131,1898.0306184879673,12.548857719047358,,,0.6685149623466827
3.387711,MAU,-,6.120898,2.7331870000000005,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,63.24589408883527,48.68333238144874,47.61649799909678,44.20932621562,1.8033147914268663,44.81282864761538,851.3770156642349,7.590922163376911,1820.4616637456727,12.274273930044147,,,0.016824671906446147
3.387711,ORT,-,6.120898,2.7331870000000005,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,63.24589408883527,48.68333238144874,47.61649799909678,44.20932621562,1.8033147914268663,44.81282864761538,851.3770156642349,7.590922163376911,1820.4616637456727,12.274273930044147,,,0.016824671906446147
6.120898,MAU,p,6.166672,0.04577399999999976,258.31352109354725,258.1478755829447,96.14428471664786,258.31352109354725,258.31352109354725,--undefined--,--undefined--,--undefined--,74.00396457474932,71.81503783460427,66.19835084451302,65.19382220516106,4.186137688530024,65.52676510147852,1044.3466784376487,8.767648510648188,1724.222656346084,11.917325503299239,,,0.17437138066653715
6.120898,ORT,sa51,6.440000,0.319102,258.31352109354725,238.89861887704373,94.79611109111295,237.3713650539867,233.39105083896808,7.273326473101971,237.95697087937518,-386.91175490761617,87.22308853783001,81.79669280000375,71.52040465763878,57.58197633743782,8.859009478188971,82.588362115062,546.2141927031909,5.34690593157419,1034.1722672024039,8.709552503027634,,,0.5674715754704639
6.166672,MAU,a,6.294533,0.12786100000000022,242.59859330662647,237.60355577042927,94.70492299613211,236.2085804563015,233.39105083896808,5.564677322431608,233.61086900963923,-184.31401955922865,87.22308853783001,85.55524881705777,86.1012563516549,79.79284172284325,2.6455701416287574,87.198594092302,631.1322414910389,6.024889460156746,1156.5248858418686,9.382285913745015,,,0.5821569818626108
6.294533,MAU,f,6.440000,0.145467,--undefined--,238.05292452742242,94.7416615282958,238.02977846871428,--undefined--,--undefined--,--undefined--,--undefined--,75.45896805115592,70.46332256705779,70.88364687756732,57.58197633743782,4.517599318415808,70.94415037354446,1111.062402139668,9.138771484884604,2105.374792767978,13.23980766440431,,,0.7125631351292515
6.440000,ORT,-,9.274138,2.8341380000000003,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,66.92667417958668,49.36054821678937,47.63345106400743,44.31876873314534,2.3939535521757103,47.41042740412033,798.0211233565992,7.235206626431097,1809.4114297544475,12.234150164102966,,,0.019240818317788923
6.440000,MAU,-,9.274138,2.8341380000000003,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,66.92667417958668,49.36054821678937,47.63345106400743,44.31876873314534,2.3939535521757103,47.41042740412033,798.0211233565992,7.235206626431097,1809.4114297544475,12.234150164102966,,,0.019240818317788923
9.274138,MAU,p,9.319520,0.04538200000000003,281.92154816099014,280.9978153466148,97.61136801246728,281.92154816099014,281.92154816099014,--undefined--,--undefined--,--undefined--,76.35475064160048,71.72699983290464,68.34120420699267,65.81102723039429,4.6088856977346,65.94484022338199,883.8555008835037,7.800099621989743,1903.81463688042,12.570140376147055,,,0.15596600956299875
9.274138,ORT,mi13,9.630000,0.3558620000000001,281.92154816099014,264.0995694164712,96.53405017446808,263.3090098983759,256.83412022991536,6.877759260070517,266.30909930444875,-386.5916795856217,88.83596919272563,82.74259372603791,72.02311460850864,58.50372589374839,9.500900843309388,78.69420219307763,506.83754934196725,5.01742278257605,1829.3570055995358,12.306378764180412,,,0.6480963939686886
9.319520,MAU,I,9.461349,0.14182899999999954,266.38729555348357,262.53730257388116,96.43383383636677,261.6336586755083,256.83412022991536,4.956297113640419,257.46621207626094,142.00769754196057,88.83596919272563,86.58813597465928,86.9345856206321,77.86260988617543,3.429215397043675,88.82743173060123,648.6411527244866,6.159214485281582,2252.310316822577,13.692603527955011,,,0.6147846427971513
9.461349,MAU,f,9.630000,0.16865100000000055,--undefined--,265.75483153982157,96.64742319965208,265.72797067350496,--undefined--,--undefined--,--undefined--,--undefined--,74.2246631592561,69.74615006064938,69.25810391872173,58.50372589374839,4.531049645638037,69.2093667901704,1179.996673864838,9.505017339852646,1907.3411658109144,12.582378299644956,,,0.664358219997753
9.630000,ORT,-,12.422552,2.792551999999999,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,64.40875246114725,48.95379491091792,47.55692807025524,45.235751457196365,2.0858585681608557,47.45649164868773,747.9911430015068,6.887547335218256,1701.0461242625133,11.828643168088636,,,0.017717955004978022
9.630000,MAU,-,12.422552,2.792551999999999,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,64.40875246114725,48.95379491091792,47.55692807025524,45.235751457196365,2.0858585681608557,47.45649164868773,747.9911430015068,6.887547335218256,1701.0461242625133,11.828643168088636,,,0.017717955004978022
12.422552,MAU,p,12.471072,0.0485199999999999,252.33099346295546,250.00857126022683,95.58205067350215,252.33099346295546,250.2450077657904,--undefined--,--undefined--,-1709.8243419485314,71.5975951798064,69.89496789083083,65.87719121041951,64.31908279050369,3.138074132968653,64.63329943996916,981.1945414620741,8.399937443862669,1800.9879495619762,12.200767827799854,,,0.10372254207378896
12.422552,ORT,sa24,12.760000,0.3374480000000002,252.33099346295546,226.25363912894716,93.85125110647203,224.28138698165748,221.3067135143319,8.414837179544284,225.3750529353888,-456.7089089671851,86.872864528505,80.90369168447447,71.64791962325245,60.82030423332425,8.03632849572916,81.2219380699683,579.8576386725349,5.620784825493894,1096.2207580529325,9.057662521833343,,,0.54335686643513
12.471072,MAU,a,12.616432,0.14536000000000016,225.8322266995535,224.1354496585579,93.69579990744286,223.4510244518289,221.3067135143319,4.489538638589484,221.55884805984823,65.61957302121019,86.872864528505,84.34996418325838,84.2117067509653,75.41307204259697,3.76024876127179,86.86369321868708,591.0632440761713,5.710489597492265,1104.29849206851,9.10190842326668,,,0.5690109513797734
12.616432,MAU,f,12.760000,0.14356800000000014,225.58747966183,225.56530053630678,93.80881587613033,225.58747966183,225.58747966183,--undefined--,--undefined--,--undefined--,72.68491482495419,70.19037086803265,71.06717127422257,60.82030423332425,3.4769743124675716,71.03546551984607,1172.4386888506579,9.465823701774498,1968.9852109078647,12.791014310140653,,,0.720101007557202
12.760000,ORT,-,15.577484,2.8174840000000003,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,65.95015491647247,49.03574433643983,47.75942126027531,45.19789188462165,2.055558092663141,46.94008832877691,777.8724703044678,7.096797368561357,1865.8284347544638,12.436542720829497,,,0.024270024821135484
