tmin,tier,text,tmax,duration,maxF0,meanF0,meanF0st,medianF0,minF0,sdF0,midpointF0,slopeF0,maxInt,meanInt,medianInt,minInt,sdInt,midpointInt,medianF1,medianF1Bark,medianF2,medianF2Bark,medianF3,medianF3Bark,SPLH-SPL
0,ORT,-,2.791738,2.791738,--undefined--,99.10035707289723,79.56755838231263,98.90510269385736,--undefined--,1.8523701492932743,--undefined--,--undefined--,66.54966788915094,50.69379935543701,43.96412065203279,41.76345260075173,4.6313827208513345,43.502647483838686,954.144762518762,8.237315267321268,1919.3093218946701,12.623188005171045,,,0.013043700735714474
0,MAU,-,2.791738,2.791738,--undefined--,99.10035707289723,79.56755838231263,98.90510269385736,--undefined--,1.8523701492932743,--undefined--,--undefined--,66.54966788915094,50.69379935543701,43.96412065203279,41.76345260075173,4.6313827208513345,43.502647483838686,954.144762518762,8.237315267321268,1919.3093218946701,12.623188005171045,,,0.013043700735714474
2.791738,MAU,p,2.837877,0.04613900000000015,267.182674626105,266.416385465768,96.69014808989394,265.5890821596259,265.5890821596259,--undefined--,--undefined--,267.8227971489408,72.54600539802802,70.46441126982748,65.36403508866061,63.062023307222816,4.261026123678628,65.2673490071936,836.226588248432,7.491306047199925,2041.708736657688,13.034990597178721,,,0.21228957417263683
2.791738,ORT,si53,3.130000,0.33826199999999984,269.7081871941103,257.96204847425173,96.12845580303177,254.34666539113397,253.6599286657725,5.6500336785408924,253.87203350344868,-149.47602072620415,90.64611552562901,82.47784279496898,64.3977181439478,49.40958234285661,12.634720563833286,69.279479388443,610.0731616594919,5.860837426860638,1924.594758035879,12.642027415638069,,,0.3858776387580536
2.837877,MAU,I,2.945245,0.10736799999999969,266.6600777064837,258.04948013765727,96.13472304861837,256.5212987343922,253.6763046568718,5.490112555504462,255.90543172306965,-179.15074609911994,90.64611552562901,87.38568331886327,86.85589230848737,78.25942047751194,4.588657429970027,90.60158223068963,518.9141598293315,5.119529818588011,1745.8342634335763,11.998941175388834,,,0.5492685488065309
2.945245,MAU,f,3.130000,0.184755,253.96399264982878,253.86511546115972,95.8550183387493,253.8946135108781,253.90112393285872,0.15049687566786307,--undefined--,4.625275930047152,74.1324333738467,64.52688416152496,61.233903077026866,49.40958234285661,6.171836561029906,61.252547995966694,1044.2058531813382,8.759421352975771,2321.9013163569107,13.897487816733193,,,0.24162838942612086
3.130000,MAU,-,6.109622,2.979622,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,53.17109481369865,44.006830020197974,43.61344053353386,41.46459246504186,1.100323850171507,42.235011516868376,875.9868785519278,7.750065296987737,1756.2654483506763,12.037931758598422,,,0.007554642408478012
3.130000,ORT,-,6.109622,2.979622,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,53.17109481369865,44.006830020197974,43.61344053353386,41.46459246504186,1.100323850171507,42.235011516868376,875.9868785519278,7.750065296987737,1756.2654483506763,12.037931758598422,,,0.007554642408478012
6.109622,MAU,p,6.179441,0.06981899999999985,287.35076614019147,286.0758042071624,97.92170442594123,287.35076614019147,287.2434555746133,--undefined--,--undefined--,-734.1247848549801,76.22639435556033,68.64564907437428,66.14570021774618,57.56070632948528,5.944272852740484,65.98512189450887,1024.4448284459977,8.653615789367954,1776.5864251649277,12.113647247237896,,,0.23085621973690257
6.109622,ORT,sa45,6.480000,0.37037800000000054,287.35076614019147,242.48116252032915,95.0116653663871,232.03247630581726,228.35818278226964,19.72912431311015,231.44898844345045,-593.7735440492769,86.56678816980418,79.27010387707536,63.44620504060713,52.63703958539844,10.97305679211384,71.05290669199063,787.5890760915754,7.163974762243752,1297.7918889767934,10.094640608384122,,,0.5374152393629438
6.179441,MAU,a,6.286229,0.10678799999999988,271.6994102714094,242.88941153977962,95.05296146872341,237.74657135110462,228.63010006529584,17.54841896243565,237.5550933286395,-504.1450140244413,86.56678816980418,84.52396598608024,84.82247256336765,76.22181972132273,3.2618743975832696,86.48150043460055,793.7561354965158,7.206151250533056,1385.263673650681,10.505630811970338,,,0.697485263906104
