tmin,tier,text,tmax,duration,maxF0,meanF0,meanF0st,medianF0,minF0,sdF0,midpointF0,slopeF0,maxInt,meanInt,medianInt,minInt,sdInt,midpointInt,medianF1,medianF1Bark,medianF2,medianF2Bark,medianF3,medianF3Bark,SPLH-SPL
0,ORT,-,2.496916,2.496916,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,61.65006895390144,43.313294135850796,40.45367255238716,8.991475256787952,14.609572514178804,41.271585116101924,673.246023642896,6.3439411875362826,1701.5613038543454,11.830748259018511,,,0.004595394380029974
0,MAU,-,2.496916,2.496916,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,61.65006895390144,43.313294135850796,40.45367255238716,8.991475256787952,14.609572514178804,41.271585116101924,673.246023642896,6.3439411875362826,1701.5613038543454,11.830748259018511,,,0.004595394380029974
2.496916,MAU,p,2.543210,0.04629400000000006,287.79671228573784,287.6624031072816,98.01851108253236,287.79671228573784,287.79671228573784,--undefined--,--undefined--,--undefined--,73.57723826439839,73.24128065153442,66.42259574057559,65.71791528936213,4.067108425548731,66.14397273048425,947.2812554848842,8.195884951160174,1833.5400272784468,12.321399241050653,,,0.1965886841842341
2.496916,ORT,ma34,2.810000,0.3130839999999999,287.79671228573784,255.22696397947925,95.9277252895548,251.55630359425894,243.72261452269294,13.244704331342588,249.8698474203642,-550.0399015647955,87.10456268023327,79.48807855741083,66.22997644753104,55.588603569487006,10.282198131238633,66.23653357154772,859.1231199841549,7.6414067565660595,1540.3819697197648,11.184311959704143,,,0.3555373757278014
2.543210,MAU,a,2.636830,0.09361999999999959,273.93473280038273,254.47637187466182,95.87883427101693,250.52883366931616,243.72261452269294,12.884033171400757,251.3644515835597,-435.26631188296636,87.10456268023327,84.51469554236289,84.61531517737708,73.2767429235785,4.643849194534292,86.68752765864029,733.2315161637388,6.783583048876769,1419.2908061019316,10.659748440038177,,,0.5513058859317296
2.636830,MAU,f,2.810000,0.17317000000000027,253.13611320727173,250.6611155445522,95.634411634877,251.1376479573185,249.9738899960337,2.7587453674516267,--undefined--,139.26362845640566,68.14064463576698,63.3620476280954,62.160075254206056,55.588603569487006,3.896366641160532,61.85263347360197,949.7646585324327,8.210644109640647,1990.3921334315146,12.865188168411407,,,0.1985786272721324
2.810000,MAU,-,4.645119,1.8351190000000002,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,64.02025196991148,44.63500396806401,41.55338089313819,39.23541814747196,2.8597473192627394,41.95459038559936,752.693964821991,6.9215918008462864,1777.5050265392708,12.117064402445031,,,0.004179729445126677
2.810000,ORT,-,4.645119,1.8351190000000002,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,64.02025196991148,44.63500396806401,41.55338089313819,39.23541814747196,2.8597473192627394,41.95459038559936,752.693964821991,6.9215918008462864,1777.5050265392708,12.117064402445031,,,0.004179729445126677
4.645119,MAU,p,4.682739,0.03761999999999954,266.9626497756647,266.59763548569265,96.70218264385731,266.9626497756647,266.1557663136695,--undefined--,--undefined--,-113.27448829914908,77.41860053820676,74.34953760058933,69.71176147977369,66.60299040748672,5.612955097633782,68.80276267202721,696.6112835737853,6.517949825404953,1865.1531366809832,12.434375807003798,,,0.19443207515026048
4.645119,ORT,si25,4.980000,0.3348810000000002,266.19766654689124,250.77052055406244,95.62716730413689,248.9337473527273,236.32804860266876,11.290630371516135,--undefined--,-333.75055885738914,89.31646731175415,81.17159009828623,66.23592147637409,50.3829733531618,11.642029914473675,66.38131563363605,779.8034435124677,7.110236170899664,2079.1211563143393,13.156221252785908,,,0.2751121069944237
4.682739,MAU,I,4.774944,0.09220499999999987,263.3688953558425,250.02709639881638,95.57876466896853,251.24994258327052,236.32804860266876,10.39964274040876,249.86400593775002,-366.58595999638715,89.31646731175415,86.60679092739848,85.78264065702928,74.59677286911796,4.782505825401399,89.30707061681177,614.2423369870198,5.8934805101272145,1701.2456231515584,11.829359259121627,,,0.5755281192890867
4.774944,MAU,f,4.980000,0.2050560000000008,244.21805343446186,241.6578400622361,95.00030814865119,240.90131325488883,244.21805343446186,--undefined--,--undefined--,--undefined--,69.02548902067905,64.82007808799303,63.22266361096668,50.3829733531618,5.549467726322956,63.412803551940634,1031.3389289997672,8.693291559411938,2111.6391386681416,13.259936921317763,,,0.1953360659750426
4.980000,ORT,-,6.692098,1.7120979999999992,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,66.95446089854124,50.19820298358674,41.36485912771049,38.64869663163865,2.679195271302605,40.42873157543663,896.8757645016058,7.8832848757932314,1743.5377157098578,11.990293773588204,,,0.003955777879669399
4.980000,MAU,-,6.692098,1.7120979999999992,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,66.95446089854124,50.19820298358674,41.36485912771049,38.64869663163865,2.679195271302605,40.42873157543663,896.8757645016058,7.8832848757932314,1743.5377157098578,11.990293773588204,,,0.003955777879669399
