tmin,tier,text,tmax,duration,maxF0,meanF0,meanF0st,medianF0,minF0,sdF0,midpointF0,slopeF0,maxInt,meanInt,medianInt,minInt,sdInt,midpointInt,medianF1,medianF1Bark,medianF2,medianF2Bark,medianF3,medianF3Bark,SPLH-SPL
0,ORT,-,2.684737,2.684737,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,54.67190644134913,43.972864977696,41.76353665051232,39.357773610037796,2.6021409051172943,40.21495457955173,827.6004087215765,7.434151850035339,1891.7969439259364,12.528187651575713,,,0.0065554284371171345
0,MAU,-,2.684737,2.684737,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,54.67190644134913,43.972864977696,41.76353665051232,39.357773610037796,2.6021409051172943,40.21495457955173,827.6004087215765,7.434151850035339,1891.7969439259364,12.528187651575713,,,0.0065554284371171345
2.684737,MAU,p,2.753212,0.06847499999999984,252.64886645907808,252.3103771067547,95.74853302041247,252.64886645907808,252.64886645907808,--undefined--,--undefined--,--undefined--,71.78562191139702,64.2002990362745,59.53688824142183,58.345872910310526,5.031835278047503,59.371585115515686,896.5150400974343,7.880933430800932,1843.4852438392122,12.357173188410737,,,0.07965282491554024
2.684737,ORT,ma34,3.027562,0.34282499999999994,252.64886645907808,234.98202514123224,94.49889354672065,233.39108901123774,219.94728891002123,11.263581780656654,224.26399994745063,-250.57005048281042,81.89391448365856,74.94866908239993,60.748089528605625,53.1554525225291,10.055433982236453,76.08626100903389,713.8873755294089,6.64428721266472,1357.3874772836157,10.377050124954241,,,0.2852976387234906
2.753212,MAU,a,2.884092,0.13087999999999989,248.18176793122507,234.5807146166885,94.47200713682794,233.39108901123774,221.53513869114622,10.479997291710903,234.30882728351673,-254.49485444757482,81.89391448365856,79.00949903640674,78.45943981136009,69.03446911423413,3.9174450859329744,80.48348585255351,684.4041300009847,6.427474678931063,1435.561721532722,10.73227227193414,,,0.3562493970654168
2.884092,MAU,f,3.027562,0.1434700000000002,227.14104450143833,225.3680554188691,93.7921331459315,227.14104450143833,227.14104450143833,--undefined--,--undefined--,--undefined--,64.23185356249921,59.02598353384258,57.15372519621825,53.1554525225291,2.684161447925557,55.74518942921892,957.674833276676,8.259204979047828,1886.856008043313,12.510719964652717,,,0.08695271025735274
3.027562,MAU,-,5.925789,2.898227,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,54.49679042405776,42.1918839458489,41.580856120574055,39.1243374931233,1.3633909072952606,41.2753731336725,865.619305503036,7.683451580296437,1816.5308761696633,12.26002187462586,,,0.006029084265930744
3.027562,ORT,-,5.925789,2.898227,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,54.49679042405776,42.1918839458489,41.580856120574055,39.1243374931233,1.3633909072952606,41.2753731336725,865.619305503036,7.683451580296437,1816.5308761696633,12.26002187462586,,,0.006029084265930744
5.925789,MAU,p,5.975567,0.04977799999999988,246.1451728987397,246.08352835937396,95.31604009981724,246.1451728987397,246.1451728987397,--undefined--,--undefined--,--undefined--,71.51351070917956,64.66491846506082,58.54667316782789,57.23780568918373,5.897832363166513,57.43367010137184,919.4667608200127,8.024341119441582,1850.578162036416,12.382540757628341,,,0.05074170066111557
5.925789,ORT,si25,6.284491,0.3587020000000001,246.1451728987397,236.71940881748836,94.63321902379495,240.6790371964209,217.20376831789832,8.78634272768555,218.1912459161675,-216.7670029239315,80.79731719567489,74.44690188809386,58.442636847496814,47.66015258171222,11.714584141539252,68.19952307722788,581.9319800651542,5.6373931258057794,1752.6663055982062,12.024628751622616,,,0.17182575620590385
5.975567,MAU,I,6.104938,0.1293709999999999,244.43550041619568,238.54542100232126,94.7690083717682,242.06100218888162,226.14660482420533,7.793421448335015,242.91752420783473,-176.70976872705538,80.79731719567489,78.76826807338047,79.26169363984317,69.81916281561196,3.3214443642904126,80.00415521846271,561.518735332399,5.472411314288891,1672.7397264612782,11.718974653367294,,,0.24072599818973084
6.104938,MAU,f,6.284491,0.1795530000000003,231.41873629762662,227.9394235643968,93.98427299591846,230.88564789720695,230.9320620708587,7.433837785704814,--undefined--,35.53922669464475,64.11605240452916,57.40000714123407,54.12536189973957,47.66015258171222,3.847734758440247,52.75340009106973,1105.0569875564693,9.106016571164883,2021.711540523215,12.969380309983883,,,0.07523792195218318
6.284491,ORT,-,9.018266,2.7337750000000005,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,57.36440405046917,42.72213015497772,41.63518166990521,39.69847482107839,1.6704568387517027,40.08582658602595,850.053695662948,7.582277317977065,1814.2926390160383,12.251882837837432,,,0.005953184584284427
6.284491,MAU,-,9.018266,2.7337750000000005,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,57.36440405046917,42.72213015497772,41.63518166990521,39.69847482107839,1.6704568387517027,40.08582658602595,850.053695662948,7.582277317977065,1814.2926390160383,12.251882837837432,,,0.005953184584284427
9.018266,MAU,p,9.080551,0.06228499999999926,257.8869370033723,257.76941551106296,96.11920962877649,257.8869370033723,257.8869370033723,--undefined--,--undefined--,--undefined--,72.08794557397327,65.08210631582465,59.0466298745541,56.72957571466049,5.867506010398705,57.097620234119,1293.5764064689274,10.073987933321597,1914.2572137337647,12.606375907041318,,,0.0642153742637613
9.018266,ORT,mi41,9.374899,0.35663299999999865,257.8869370033723,243.6043784996222,95.12240620252864,246.02304460854086,224.02289257323946,11.681724546217136,233.36387505285427,-225.76029620088494,81.79588026372214,75.62646310164487,63.098882159103276,54.01698775824525,10.725222381085777,76.19693560541919,993.2165462759816,8.459528631905076,1656.931035083756,11.65725489122624,,,0.22430000355462262
