tmin,tier,text,tmax,duration,maxF0,meanF0,meanF0st,medianF0,minF0,sdF0,midpointF0,slopeF0,maxInt,meanInt,medianInt,minInt,sdInt,midpointInt,medianF1,medianF1Bark,medianF2,medianF2Bark,medianF3,medianF3Bark,SPLH-SPL
0,ORT,-,3.501916,3.501916,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,60.82183203032057,46.22048279555281,10.038477866469727,9.19551374523851,18.331266257879758,9.761304255511664,1347.2083055944931,10.32949217949047,2355.949536142083,13.995639287310654,,,0.00350879452914594
0,MAU,-,3.501916,3.501916,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,60.82183203032057,46.22048279555281,10.038477866469727,9.19551374523851,18.331266257879758,9.761304255511664,1347.2083055944931,10.32949217949047,2355.949536142083,13.995639287310654,,,0.00350879452914594
3.501916,MAU,p,3.535999,0.03408299999999986,247.616507257869,247.49218974548765,95.41481325667327,247.616507257869,247.59503971460842,--undefined--,--undefined--,-222.76414521886431,82.79531113165689,76.85922947261553,71.78180042420217,64.14445971944213,8.292943357047111,71.41548052641731,1154.839999671201,9.368484951058331,2257.841104310174,13.709043855962605,,,0.3151145677605467
3.501916,ORT,mi43,3.770000,0.268084,256.202349385947,249.49821486122778,95.55209530965594,248.6032183984655,244.1465474852843,4.683050118150635,--undefined--,263.60337486092754,87.4068971006136,79.60348675889924,71.94358693445915,58.202502328592374,7.918634304381426,71.90727210390556,1180.328290174075,9.506914975253558,2022.834579661538,12.972939455660999,,,0.6080351031831093
3.535999,MAU,I,3.610000,0.07400099999999998,256.202349385947,249.48087796450383,95.55063961711113,249.58992953906198,244.1465474852843,5.0200281013644314,248.3522309967176,263.60337486092754,87.4068971006136,84.54505181746013,84.2010095211937,74.03811891748919,5.185022052757604,85.36770180663014,599.4694220805593,5.777148511673019,1819.8569567428794,12.270404940053526,,,0.43345766979877587
3.610000,MAU,f,3.770000,0.16000000000000014,--undefined--,254.1752355992141,95.87615597491457,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,72.25832840528311,70.36847742463966,70.67258311995106,58.202502328592374,4.522800239258806,71.02251251056143,1075.3721509211455,8.94227056186823,2262.0926464050244,13.72163967716994,,,0.7309088231825323
3.770000,MAU,-,6.963825,3.193825,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,66.04900780995637,50.54865203556497,49.29676082358221,47.99504833128765,1.6723323209196617,48.84519940438476,799.9266608723741,7.247859200716556,1755.8058929004255,12.036376186876428,,,0.008217334318222658
3.770000,ORT,-,6.963825,3.193825,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,66.04900780995637,50.54865203556497,49.29676082358221,47.99504833128765,1.6723323209196617,48.84519940438476,799.9266608723741,7.247859200716556,1755.8058929004255,12.036376186876428,,,0.008217334318222658
6.963825,MAU,p,7.010481,0.046656000000000475,226.83386262451555,226.83386262451555,93.90590660583113,--undefined--,226.83386262451555,--undefined--,--undefined--,--undefined--,76.50639518713979,74.26649256155913,69.99123683391096,68.0697037305047,3.8763242834215585,69.98178383254071,1003.8145968406458,8.53372532639871,1859.956971273429,12.415934348555368,,,0.2787582934988525
6.963825,ORT,sa44,7.240000,0.2761750000000003,234.4318060194489,229.62695951463922,94.11615484631416,228.9509008875939,225.78556434363392,3.449865016026988,--undefined--,139.0220312151346,84.29265133513509,77.94633657457445,70.42020785242599,58.558861907607145,8.09312046812816,72.06631755839997,887.6845195297942,7.824814969838011,1735.8507377318397,11.961358812069474,,,0.49308385685597617
7.010481,MAU,a,7.090978,0.08049699999999938,233.92837625047895,229.57760293804444,94.11251650037923,228.9509008875939,225.78556434363392,3.399437191980274,229.07596827848633,141.30131845543985,84.29265133513509,82.67977634823693,82.99504373367716,76.5767936563338,2.6246384221280463,83.85697742658347,693.9016998521695,6.498344869761192,1356.5517941442267,10.373022945125054,,,0.6556846258797765
7.090978,MAU,f,7.240000,0.14902200000000043,--undefined--,234.4318060194489,94.47629408747092,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,72.8538373710958,68.4617996518503,66.70401231808373,58.558861907607145,4.53024895144425,66.95138349344494,1065.5701944956859,8.887259197297528,2042.3656245233565,13.037128797181627,,,0.4433471027695442
7.240000,ORT,-,9.971708,2.7317079999999994,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,64.25440260985765,50.44864526655098,49.458917146526886,48.265691650951915,1.5616462495213697,49.46765712930959,742.8316310310776,6.850147541900892,1841.302273462088,12.349341648792276,,,0.014939850358604987
7.240000,MAU,-,9.971708,2.7317079999999994,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,64.25440260985765,50.44864526655098,49.458917146526886,48.265691650951915,1.5616462495213697,49.46765712930959,742.8316310310776,6.850147541900892,1841.302273462088,12.349341648792276,,,0.014939850358604987
