tmin,tier,text,tmax,duration,maxF0,meanF0,meanF0st,medianF0,minF0,sdF0,midpointF0,slopeF0,maxInt,meanInt,medianInt,minInt,sdInt,midpointInt,medianF1,medianF1Bark,medianF2,medianF2Bark,medianF3,medianF3Bark,SPLH-SPL
0,ORT,-,3.174211,3.174211,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,69.79230033489296,46.102489374328854,10.455704701872264,9.08906489043422,17.080276883984407,9.220029750349466,1275.2809861328642,9.982334873191611,2312.9940170548393,13.871340899068626,,,0.003968335436218502
0,MAU,-,3.174211,3.174211,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,69.79230033489296,46.102489374328854,10.455704701872264,9.08906489043422,17.080276883984407,9.220029750349466,1275.2809861328642,9.982334873191611,2312.9940170548393,13.871340899068626,,,0.003968335436218502
3.174211,MAU,p,3.202039,0.027827999999999964,267.8705053833223,267.638058390964,96.76956475988524,267.8705053833223,267.3934179813814,--undefined--,--undefined--,-271.65892377997176,77.56591605777015,78.15057580056508,75.12285853775292,72.67980101773568,3.543095754707373,74.92938836251514,605.010187929952,5.820985937857937,1907.9016002410308,12.584343910424082,,,0.08765779145658309
3.174211,ORT,si23,3.450000,0.27578900000000006,266.7051157662,255.0430691523367,95.92088629825359,256.8422328944357,237.30678847484583,11.26576979419367,--undefined--,-415.7585308372095,91.08504301654108,83.15650911956351,69.6786660619118,54.92852033788476,9.939421429138589,68.42431267159573,711.3498680295337,6.6259446726745965,1984.0162616130476,12.844055169647039,,,0.4733407095045863
3.202039,MAU,I,3.285656,0.08361699999999983,264.36591510531565,253.09810852530836,95.78983051395659,253.92641154629408,237.30678847484583,10.770241616548574,253.35818177339632,-435.7396400678842,91.08504301654108,88.10764437845637,87.87084056797693,76.22882073772712,5.146381180596655,90.43140392033155,574.3509311919186,5.576301689891576,1952.132002127743,12.73632205039537,,,0.7966436460517472
3.285656,MAU,f,3.450000,0.16434400000000027,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,71.2718924735395,68.43352858241488,68.48395286061978,54.92852033788476,4.4316811694046985,69.66345152149029,1335.673384245278,10.275394420086077,2055.3421676388216,13.07940559146594,,,0.6409880461613809
3.450000,MAU,-,5.963329,2.5133289999999997,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,63.85544622644656,49.19492821232662,42.975070749715165,40.68285109783488,3.8618824204008035,48.74163628875544,569.4089714769209,5.536412275425301,1898.8460947668132,12.552806172426346,,,0.019102061750038046
3.450000,ORT,-,5.963329,2.5133289999999997,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,63.85544622644656,49.19492821232662,42.975070749715165,40.68285109783488,3.8618824204008035,48.74163628875544,569.4089714769209,5.536412275425301,1898.8460947668132,12.552806172426346,,,0.019102061750038046
5.963329,MAU,p,5.981997,0.018667999999999907,254.3895011770926,252.50101651016354,95.75944915955215,254.3895011770926,248.95851398277205,--undefined--,254.27348181814472,-711.7752082939787,82.4551106725375,80.95767518486045,78.18436490711525,73.913619141693,6.053244677386979,79.05389849087221,671.9938952746055,6.335689848622242,1844.562365276084,12.361040783160934,,,0.16476662529647249
5.963329,ORT,si44,6.260000,0.2966709999999999,239.6839796573381,227.09675830460074,93.88442616097093,223.2526181652076,210.53014422828323,17.159826463066643,--undefined--,-419.45610863638825,88.7919026026138,81.03859447589818,69.56377515980873,54.56250650664625,9.753791201923223,69.48353429555647,1255.185779625195,9.886577170063426,1982.8756815384968,12.839765053858866,,,0.4764135481170214
