tmin,tier,text,tmax,duration,maxF0,meanF0,meanF0st,medianF0,minF0,sdF0,midpointF0,slopeF0,maxInt,meanInt,medianInt,minInt,sdInt,midpointInt,medianF1,medianF1Bark,medianF2,medianF2Bark,medianF3,medianF3Bark,SPLH-SPL
0,ORT,-,1.876483,1.876483,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,59.00692687025253,43.93108956856245,42.24581394609284,8.967673197195216,16.97768590376718,42.67147296732748,804.044854472178,7.276086372630001,1823.027356430804,12.283518374829177,,,0.0060610037357452925
0,MAU,-,1.876483,1.876483,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,59.00692687025253,43.93108956856245,42.24581394609284,8.967673197195216,16.97768590376718,42.67147296732748,804.044854472178,7.276086372630001,1823.027356430804,12.283518374829177,,,0.0060610037357452925
1.876483,MAU,p,1.908131,0.03164800000000012,246.53752780266566,246.53752780266564,95.34796151177662,--undefined--,246.53752780266566,--undefined--,--undefined--,--undefined--,71.59936797442558,70.0138996038458,66.9736231563096,64.14777500181708,3.8919184632541604,67.86454284140358,898.2870702531372,7.89214800599985,1643.9609841638112,11.606063726439409,,,0.08907992679640976
1.876483,ORT,ma34,2.188830,0.31234699999999993,246.53752780266566,216.80147042211593,93.07173775925784,215.71933104314752,195.362373517156,17.641945152127583,200.3068058691282,-469.41878635234696,78.48819155398826,71.96642853413226,62.29461276205871,44.25371762734848,12.675681879100066,63.99065041020904,762.4347905665641,6.989887274595682,1719.6851036813412,11.90004613680101,,,0.08196754371035692
1.908131,MAU,a,2.045214,0.13708300000000007,239.0180156742664,215.74094634876494,92.98846756658463,215.71933104314752,195.362373517156,17.365884089446308,211.14739840439273,-449.2300017917615,78.48819155398826,75.24003069240966,74.96923111098772,60.44145052230034,5.49757879148235,74.71205251124536,817.0910105256007,7.363983487249148,1692.0230249445508,11.794018219784693,,,0.14123042698976568
2.045214,MAU,f,2.188830,0.14361599999999974,--undefined--,213.77320833556786,92.8792469373799,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,54.020928598669194,49.723000806651456,49.08665696219818,44.25371762734848,2.5375505491758537,49.59682160277187,723.3818476812868,6.712927585339517,1823.2264794749285,12.284274421320536,,,0.027432371940249615
2.188830,MAU,-,5.492640,3.30381,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,57.2077689579534,43.38615299788038,42.634753175172776,40.560760615144986,1.2198202604924402,41.2462842615559,778.5677814100222,7.101606689944413,1926.9332609349399,12.650126405909365,,,0.004356029717452921
2.188830,ORT,-,5.492640,3.30381,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,57.2077689579534,43.38615299788038,42.634753175172776,40.560760615144986,1.2198202604924402,41.2462842615559,778.5677814100222,7.101606689944413,1926.9332609349399,12.650126405909365,,,0.004356029717452921
5.492640,MAU,p,5.543152,0.050512000000000334,275.4625128063299,271.3281483084694,97.00386892823127,270.5499268378149,266.8813386388222,--undefined--,275.4625128063299,-655.0114624686994,73.78838114141824,68.8754758867846,63.27131343462228,60.82517346207865,5.09036587626697,61.2197740905964,793.4906906584204,7.204267122744286,1931.9760095734816,12.667470279864023,,,0.05208838898879102
5.492640,ORT,si25,5.804756,0.3121160000000005,275.4625128063299,247.63816436667534,95.38959707730325,246.25422874451777,226.62276366224646,16.775980417474692,228.99012809771446,-426.1216649902674,79.39844650167811,72.93696869020567,61.744415598681805,50.18424865437581,11.165539017928399,66.5502080924332,409.9828716057241,4.165051244679015,1890.5531293107088,12.523842644309138,,,0.058592993471380764
