tmin,tier,text,tmax,duration,maxF0,meanF0,meanF0st,medianF0,minF0,sdF0,midpointF0,slopeF0,maxInt,meanInt,medianInt,minInt,sdInt,midpointInt,medianF1,medianF1Bark,medianF2,medianF2Bark,medianF3,medianF3Bark,SPLH-SPL
0,ORT,-,3.527020,3.52702,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,68.91673212363006,45.692697279720775,41.34874227472625,8.847798950088736,17.136969501841786,42.394704004963025,874.9459655140304,7.74346297576497,1828.5499580230749,12.30228952548249,,,0.003816687186216715
0,MAU,-,3.527020,3.52702,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,68.91673212363006,45.692697279720775,41.34874227472625,8.847798950088736,17.136969501841786,42.394704004963025,874.9459655140304,7.74346297576497,1828.5499580230749,12.30228952548249,,,0.003816687186216715
3.527020,MAU,p,3.587468,0.06044800000000006,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,78.30758310161008,76.74386643067943,73.9622024015363,70.18426391469623,2.9221431497753376,72.32983645692039,1142.4843931793123,9.307780226986964,1960.9721493452669,12.766357699157563,,,0.18984630617980128
3.527020,ORT,ma41,3.917211,0.3901910000000002,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,87.10622324227859,78.43330010173845,63.30037108054317,54.472196883112645,10.249787213175887,61.6070537691441,964.1921715844894,8.298531120094104,1643.7533285956813,11.605201314813456,,,0.2852867210679677
3.587468,MAU,a,3.704656,0.11718800000000007,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,87.10622324227859,83.10963411732152,80.07812208437679,78.05301545492642,3.8034561238505016,79.16759859645165,892.8008928470863,7.857519905863453,1459.6298554853174,10.838531974625006,,,0.5767232873619703
3.704656,MAU,f,3.917211,0.21255500000000005,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,72.91506210527166,62.36577669259307,60.65390299376034,54.472196883112645,3.593489141982886,61.827123183480275,1101.9597221465995,9.089077308789483,1994.8693051480425,12.88034265711872,,,0.14659591778753317
3.917211,MAU,-,6.866201,2.9489900000000002,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,63.42323236469441,45.10980183523983,42.77652818349704,39.83378552408861,2.545510270917939,41.65283722890189,836.0126681689919,7.489946151964364,1802.6630884787946,12.209538121129405,,,0.006059283862479472
3.917211,ORT,-,6.866201,2.9489900000000002,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,63.42323236469441,45.10980183523983,42.77652818349704,39.83378552408861,2.545510270917939,41.65283722890189,836.0126681689919,7.489946151964364,1802.6630884787946,12.209538121129405,,,0.006059283862479472
6.866201,MAU,p,6.927841,0.061639999999999695,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,80.31446359156733,72.40056084162946,67.6668565960957,63.614444327519934,6.124963835058456,64.5453038783021,922.8140664524727,8.045371641639703,1639.017775399811,11.586208873919318,,,0.07328449425370548
6.866201,ORT,sa12,7.260603,0.3944019999999995,85.9760305973253,85.10222899901719,76.93291941141233,85.06096757470282,84.26968882502341,0.8539188719239856,--undefined--,-56.878059076729436,86.57906171109073,77.805498966735,64.54308241836435,50.3350097863948,13.143223959815375,66.08503388803011,804.8070164181017,7.281153621601842,1456.6081485887244,10.825136928810014,,,0.22401961303313866
6.927841,MAU,a,7.070103,0.14226199999999967,85.9760305973253,85.10222899901719,76.93291941141233,85.06096757470282,84.26968882502341,0.8539188719239856,--undefined--,-56.878059076729436,86.57906171109073,82.02506891684628,79.17958541278631,64.97192975828979,6.848155083056175,79.60368070539647,844.4788811518429,7.5457306472304175,1390.701270349247,10.5304728408829,,,0.4949166169050946
