tmin,tier,text,tmax,duration,maxF0,meanF0,meanF0st,medianF0,minF0,sdF0,midpointF0,slopeF0,maxInt,meanInt,medianInt,minInt,sdInt,midpointInt,medianF1,medianF1Bark,medianF2,medianF2Bark,medianF3,medianF3Bark,SPLH-SPL
0,ORT,-,5.246783,5.246783,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,67.91994375765077,47.32282377019048,10.198863021933542,8.724777838273075,18.59609768904748,9.573717897062588,1372.3679684629478,10.44626514984331,2473.4654581471877,14.324658604048876,,,0.009784926831394248
0,MAU,-,5.246783,5.246783,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,67.91994375765077,47.32282377019048,10.198863021933542,8.724777838273075,18.59609768904748,9.573717897062588,1372.3679684629478,10.44626514984331,2473.4654581471877,14.324658604048876,,,0.009784926831394248
5.246783,MAU,p,5.283884,0.03710099999999983,248.24964151975215,247.4804410527587,95.41385334302731,248.24964151975215,246.51336378251833,--undefined--,248.24964151975215,-170.56495696911077,86.79637569824072,81.92644788191119,75.91003391835235,71.55920867347936,7.0925933964858485,76.11096910745557,1369.540624219078,10.433314864646313,2063.6713185658537,13.106301408666504,,,0.46994699481558455
5.246783,ORT,si23,5.630000,0.38321700000000014,247.12323686668486,225.06469835207898,93.68136949632104,234.8248113205445,193.77697532021082,23.892448201876633,--undefined--,-602.9446740259002,92.93725794625784,86.30737829390954,77.00293139642452,56.84529167164114,10.00638095896321,76.95253421288179,1098.3238776248081,9.06920745963383,2191.919250573159,13.509994191445564,,,1.1292475038431087
5.283884,MAU,I,5.390838,0.106954,247.12323686668486,222.52899260485066,93.49062465649404,224.30766167320732,195.58294618009185,23.439661998738238,224.4946300426968,-655.524707651902,92.93725794625784,91.42142869940444,91.52425566736527,86.08659113729802,2.081413745929356,92.24532696417036,552.221042191628,5.3963523635177095,2016.7403567614901,12.952976272099685,,,2.2351076790918514
5.390838,MAU,f,5.630000,0.23916200000000032,--undefined--,193.77697532021082,91.17904018733961,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,81.57184570055554,76.03635000851395,76.51488654798254,56.84529167164114,6.868539618846547,76.67325290669002,1422.371966747014,10.673554886637111,2178.0778189312664,13.467499710619942,,,1.2309951104420855
5.630000,MAU,-,8.528810,2.89881,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,66.75259109403714,48.70279966519032,46.53098482566057,44.810800724793985,2.0734681635070915,45.30419905370481,1035.5827227996424,8.717625798165486,2080.7139915202606,13.161161497118346,,,0.009795013245920114
5.630000,ORT,-,8.528810,2.89881,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,66.75259109403714,48.70279966519032,46.53098482566057,44.810800724793985,2.0734681635070915,45.30419905370481,1035.5827227996424,8.717625798165486,2080.7139915202606,13.161161497118346,,,0.009795013245920114
8.528810,MAU,p,8.565146,0.03633600000000037,236.94505490688212,235.9699869278243,94.58889773610153,236.94505490688212,234.7678729794662,--undefined--,--undefined--,-334.02253786804766,78.18803388005446,78.08690915392724,69.48212936427947,69.08924043813194,5.496296041863021,70.97995877223764,1054.3244552959604,8.824237401475493,2054.3836347271995,13.076197068717558,,,0.1335004096242829
8.528810,ORT,si44,8.888038,0.3592279999999999,233.69218679851537,212.64269334438782,92.72945719782939,212.89967739865207,188.70342186219645,18.362189823778618,--undefined--,-408.0186852247735,89.06482978954247,82.56855828307047,73.84045959088664,54.85730808487717,9.521030783380844,72.83720146919652,987.7835729016936,8.439274452347409,2158.7105002496114,13.407047545969824,,,1.0368591792797814
