tmin	condition	text	tmax	duration	maxF0	meanF0	meanF0st	medianF0	minF0	sdF0	midpointF0	slopeF0	maxInt	meanInt	medianInt	minInt	sdInt	midpointInt	medianF1	medianF1Bark	medianF2	medianF2Bark	medianF3	medianF3Bark	SPLH.SPL	file	subject
46,506435	ma31	p	46,546133	0,039698	NA	211,3857147389	92,6848088847	NA	NA	NA	NA	NA	72,0477841641	69,6210439637	68,3151569418	65,9398604146	2,6146441957	68,4345864218	1086,1716657679	9,0021916288	1757,9577224572	12,0444156213	NA	NA	0,1651682331	id3_part2.csv	3
46,546133	ma31	a	46,668035	0,121902	206,4899944312	189,400953906	90,7604284795	187,58996344	179,3139348416	10,623297781	186,9036266696	-278,6670808276	75,0230076054	72,8947448238	72,9456025788	66,6958214593	2,5483281479	72,8350187018	877,1600182582	7,7564874769	1741,1424496361	11,981350718	NA	NA	0,0913956227	id3_part2.csv	3
46,668035	ma31	f	46,825412	0,157377	NA	175,1065222584	89,4249919177	175,0450077981	NA	NA	NA	NA	61,8632675142	56,4243088321	56,3108584246	48,7082421485	3,0611829623	56,1872325689	980,4131936678	8,3956138865	2053,126478666	13,0714354194	NA	NA	0,1102299172	id3_part2.csv	3
49,787081	si53	p	49,831921	0,04484	247,7090998058	247,0452541845	95,3833973564	246,4024309946	246,4024309946	NA	NA	175,6983745016	68,9565331602	65,7920414823	61,7693112863	60,9524914679	3,7559693643	60,589889758	854,7907568851	7,6115743049	1985,8586580958	12,850116546	NA	NA	0,071523522	id3_part2.csv	3
49,831921	si53	I	49,940129	0,108208	247,5213105324	240,5937641432	94,9211878647	241,0546014208	232,2264988941	5,7557172633	241,3503609731	-182,3021196574	78,1202526917	76,5990991377	77,1757157018	72,064277131	2,0408884754	77,7888369904	592,6518935555	5,7231257245	2078,6228145543	13,1545028642	NA	NA	0,0768465768	id3_part2.csv	3
49,940129	si53	f	50,101599	0,16147	235,8785867567	235,4803391166	94,5535031653	235,8785867567	235,8785867567	NA	NA	NA	68,3127892892	59,1318213063	54,1483484592	50,8230411464	4,8132931849	53,9951350872	1251,177199557	9,8666765693	1988,5848030532	12,859361678	NA	NA	0,0859233506	id3_part2.csv	3
52,825845	sa54	p	52,870306	0,044461	220,5750026922	220,5027332285	93,4158209535	220,5750026922	220,518468423	NA	NA	-65,7451672009	70,317976497	67,2835722914	66,1872938751	64,712190103	2,5022954156	65,882941029	826,8908638058	7,429020473	1720,7581355967	11,9041622038	NA	NA	0,138234741	id3_part2.csv	3
52,870306	sa54	a	52,989864	0,119558	218,0580167585	198,3982419646	91,5470446182	200,5385921807	180,5552208659	14,3979505541	200,8506748994	-392,0983528142	74,6621219981	72,1839072292	72,963757243	62,7116657959	3,7895977027	72,957364314	1018,8803058562	8,6214484604	1888,9325318032	12,5179700623	NA	NA	0,0618937134	id3_part2.csv	3
52,989864	sa54	f	53,150388	0,160524	NA	179,3773944944	89,8422513613	NA	NA	NA	NA	NA	57,41636441	53,1016763546	53,3241791886	46,7758976947	2,4771702594	51,1742639289	1058,3867816167	8,8469472604	1922,8246346455	12,6359894117	NA	NA	0,0640418346	id3_part2.csv	3
56,077183	si51	p	56,139399	0,062216	246,1538201495	245,8672492684	95,3006213312	246,1538201495	246,1538201495	NA	NA	NA	67,2060479154	64,9012406701	59,0119837394	56,3343809568	4,2482974248	56,3710197061	1393,3999738749	10,5426527017	1949,9456183678	12,7289372826	NA	NA	0,055959425	id3_part2.csv	3
